iso_language_code,count,language_name
en,30814,english
fr,4779,french
ja,3516,japanese
ru,3126,russian
de,3098,german
es,2674,spanish; castilian
it,2586,italian
zh,1580,chinese
hi,1412,hindi
ko,1084,korean
cn,946,nan
ar,682,arabic
pl,660,polish
pt,646,portuguese
sv,607,swedish
cs,568,czech
hu,433,hungarian
he,430,hebrew
el,426,"greek, modern (1453-)"
fi,399,finnish
nl,366,dutch; flemish
th,350,thai
tr,336,turkish
da,329,danish
xx,327,nan
fa,284,persian
ro,256,romanian; moldavian; moldovan
ta,222,tamil
no,184,norwegian
la,170,latin
te,136,telugu
sr,135,serbian
vi,122,vietnamese
ur,110,urdu
uk,106,ukrainian
bn,94,bengali
yi,90,yiddish
is,69,icelandic
tl,67,tagalog
ka,66,georgian
et,65,estonian
bg,64,bulgarian
hr,62,croatian
ml,54,malayalam
mr,53,marathi
sk,50,slovak
sl,44,slovenian
id,42,indonesian
ca,41,catalan; valencian
sq,38,albanian
bs,38,bosnian
lt,38,lithuanian
pa,36,panjabi; punjabi
sh,31,nan
lv,29,latvian
ku,28,kurdish
af,28,afrikaans
sw,28,swahili
ms,26,malay
hy,24,armenian
bo,24,tibetan
gd,24,gaelic; scottish gaelic
ga,23,irish
kk,22,kazakh
ce,20,chechen
zu,19,zulu
wo,18,wolof
eu,17,basque
mn,17,mongolian
ps,16,pushto; pashto
km,15,central khmer
mk,14,macedonian
xh,14,xhosa
mi,13,maori
cy,11,welsh
so,11,somali
ne,11,nepali
gu,10,gujarati
am,10,amharic
iu,9,inuktitut
qu,9,quechua
my,8,burmese
eo,8,esperanto
az,8,azerbaijani
nv,8,navajo; navaho
bm,7,bambara
ky,7,kirghiz; kyrgyz
gn,7,guarani
ln,7,lingala
tt,6,tatar
cr,5,cree
tg,5,tajik
lo,5,lao
sa,5,sanskrit
gl,5,galician
oc,4,occitan (post 1500)
si,4,sinhala; sinhalese
kn,4,kannada
lb,4,luxembourgish; letzeburgesch
mt,4,maltese
se,4,northern sami
be,4,belarusian
rw,3,kinyarwanda
co,3,corsican
uz,3,uzbek
jv,3,javanese
nb,3,"bokmål, norwegian; norwegian bokmål"
ny,3,chichewa; chewa; nyanja
st,3,"sotho, southern"
ay,3,aymara
ab,2,abkhazian
tn,2,tswana
ug,2,uighur; uyghur
as,2,assamese
ff,2,fulah
dz,2,dzongkha
sc,2,sardinian
mh,2,marshallese
br,1,breton
sg,1,sango
ht,1,haitian; haitian creole
fy,1,western frisian
to,1,tonga (tonga islands)
tk,1,turkmen
sm,1,samoan
ki,1,kikuyu; gikuyu
kw,1,cornish
fo,1,faroese
sn,1,shona
bi,1,bislama
ha,1,hausa
ig,1,igbo
ty,1,tahitian
