release_date,title,budget,revenue,return
1995-10-30,toy story,30000000.0,373554033,12.4518011
1995-12-15,jumanji,65000000.0,262797249,4.0430346
1995-12-22,grumpier old men,4224578.813474693,11209348,2.653364757573468
1995-12-22,waiting to exhale,16000000.0,81452156,5.09075975
1995-02-10,father of the bride part ii,4224578.813474693,76578911,18.126993099464574
1995-12-15,heat,60000000.0,187436818,3.123946966666667
1995-12-15,sabrina,58000000.0,11209348,0.19326462998733254
1995-12-22,tom and huck,4224578.813474693,11209348,2.653364757573468
1995-12-22,sudden death,35000000.0,64350171,1.8385763142857143
1995-11-16,goldeneye,58000000.0,352194034,6.072310931034483
1995-11-17,the american president,62000000.0,107879496,1.739991870967742
1995-12-22,dracula: dead and loving it,4224578.813474693,11209348,2.653364757573468
1995-12-22,balto,4224578.813474693,11348324,2.6862616372082937
1995-12-22,nixon,44000000.0,13681765,0.31094920454545455
1995-12-22,cutthroat island,98000000.0,10017322,0.10221757142857144
1995-11-22,casino,52000000.0,116112375,2.2329302884615383
1995-12-13,sense and sensibility,16500000.0,135000000,8.181818181818182
1995-12-09,four rooms,4000000.0,4300000,1.075
1995-11-10,ace ventura: when nature calls,30000000.0,212385533,7.079517766666667
1995-11-21,money train,60000000.0,35431113,0.59051855
1995-10-20,get shorty,30250000.0,115101622,3.805012297520661
1995-10-27,copycat,4224578.813474693,11209348,2.653364757573468
1995-10-06,assassins,50000000.0,30303072,0.60606144
1995-10-27,powder,4224578.813474693,11209348,2.653364757573468
1995-10-27,leaving las vegas,3600000.0,49800000,13.833333333333334
1995-12-15,othello,4224578.813474693,11209348,2.653364757573468
1995-10-20,now and then,12000000.0,27400000,2.283333333333333
1995-09-27,persuasion,4224578.813474693,11209348,2.653364757573468
1995-05-16,the city of lost children,18000000.0,1738611,0.0965895
1995-04-30,shanghai triad,4224578.813474693,11209348,2.653364757573468
1995-08-11,dangerous minds,4224578.813474693,180000000,42.607797829661266
1995-12-29,twelve monkeys,29500000.0,168840000,5.7233898305084745
1996-09-18,wings of courage,4224578.813474693,11209348,2.653364757573468
1995-07-18,babe,30000000.0,254134910,8.471163666666667
1995-11-08,carrington,4224578.813474693,11209348,2.653364757573468
1995-12-29,dead man walking,11000000.0,39363635,3.5785122727272727
1995-10-20,across the sea of time,4224578.813474693,11209348,2.653364757573468
1995-11-17,it takes two,4224578.813474693,11209348,2.653364757573468
1995-07-19,clueless,12000000.0,11209348,0.9341123782721074
1995-12-15,"cry, the beloved country",4224578.813474693,11209348,2.653364757573468
1995-12-29,richard iii,4224578.813474693,11209348,2.653364757573468
1995-10-06,dead presidents,10000000.0,11209348,1.1209348539265287
1995-12-29,restoration,19000000.0,11209348,0.5899657125929099
1995-08-18,mortal kombat,18000000.0,122195920,6.788662222222222
1995-05-20,to die for,20000000.0,21284514,1.0642257
1995-10-06,how to make an american quilt,10000000.0,23574130,2.357413
1995-09-22,se7en,33000000.0,327311859,9.918541181818181
1995-06-14,pocahontas,55000000.0,346079773,6.292359509090909
1995-05-05,when night is falling,4224578.813474693,11209348,2.653364757573468
1995-07-19,the usual suspects,6000000.0,23341568,3.890261333333333
1994-11-22,guardian angel,4224578.813474693,11209348,2.653364757573468
1995-09-13,mighty aphrodite,15000000.0,6700000,0.44666666666666666
1994-01-01,lamerica,4224578.813474693,11209348,2.653364757573468
1995-09-29,the big green,4224578.813474693,11209348,2.653364757573468
1995-05-19,georgia,4224578.813474693,11209348,2.653364757573468
1997-07-08,kids of the round table,4224578.813474693,11209348,2.653364757573468
1995-11-02,home for the holidays,4224578.813474693,17519169,4.146962282753716
1994-09-22,the postman,4224578.813474693,11209348,2.653364757573468
1995-09-29,the confessional,4224578.813474693,11209348,2.653364757573468
1995-07-14,the indian in the cupboard,45000000.0,11209348,0.24909663420589528
1996-01-12,eye for an eye,20000000.0,11209348,0.5604674269632643
1995-12-29,mr. holland's opus,4224578.813474693,106269971,25.155163554066476
1996-01-12,don't be a menace to south central while drinking your juice in the hood,4224578.813474693,11209348,2.653364757573468
1996-01-12,two if by sea,4224578.813474693,11209348,2.653364757573468
1996-01-12,bio-dome,15000000.0,11209348,0.7472899026176859
1996-01-12,lawnmower man 2: beyond cyberspace,4224578.813474693,2409225,0.5702876207009203
1995-10-22,two bits,4224578.813474693,11209348,2.653364757573468
1995-02-08,french twist,4224578.813474693,11209348,2.653364757573468
1995-04-26,friday,3500000.0,28215918,8.061690857142857
1996-01-19,from dusk till dawn,19000000.0,25836616,1.3598218947368421
1995-11-03,fair game,50000000.0,11534477,0.23068954
1995-10-06,kicking and screaming,4224578.813474693,11209348,2.653364757573468
1995-03-22,les miserables,4224578.813474693,11209348,2.653364757573468
1996-01-26,bed of roses,4224578.813474693,19030691,4.504754637148634
1996-01-26,big bully,15000000.0,2042530,0.13616866666666666
1995-09-08,screamers,20000000.0,5781885,0.28909425
1995-02-18,nico icon,4224578.813474693,11209348,2.653364757573468
1995-11-15,the crossing guard,4224578.813474693,11209348,2.653364757573468
1996-02-02,the juror,44000000.0,11209348,0.25475792134693837
1995-01-01,the white balloon,4224578.813474693,11209348,2.653364757573468
1995-12-01,things to do in denver when you're dead,8000000.0,11209348,1.401168567408161
1995-09-12,antonia's line,900000.0,11209348,12.454831710294764
1996-01-26,once upon a time... when we were colored,4224578.813474693,11209348,2.653364757573468
1995-11-22,last summer in the hamptons,4224578.813474693,11209348,2.653364757573468
1995-09-10,angels and insects,4224578.813474693,11209348,2.653364757573468
1996-02-02,white squall,38000000.0,10300000,0.2710526315789474
1996-01-12,dunston checks in,16000000.0,11209348,0.7005842837040805
1996-02-01,black sheep,4224578.813474693,11209348,2.653364757573468
1995-11-22,nick of time,8169363.0,8175346,1.000732370443081
1995-09-14,the journey of august king,4224578.813474693,11209348,2.653364757573468
1996-02-23,mary reilly,47000000.0,12379402,0.2633915319148936
1995-10-26,vampire in brooklyn,14000000.0,19800000,1.4142857142857144
1996-02-09,beautiful girls,4224578.813474693,11209348,2.653364757573468
1996-02-09,broken arrow,50000000.0,150270147,3.00540294
1995-12-01,a midwinter's tale,4224578.813474693,11209348,2.653364757573468
1995-05-31,la haine,3000000.0,11209348,3.7364495130884294
1994-12-06,shopping,4224578.813474693,11209348,2.653364757573468
1995-12-27,heidi fleiss: hollywood madam,4224578.813474693,11209348,2.653364757573468
1996-02-16,city hall,4224578.813474693,11209348,2.653364757573468
1996-02-21,bottle rocket,7000000.0,11209348,1.6013355056093268
1996-02-16,mr. wrong,4224578.813474693,11209348,2.653364757573468
1996-02-23,unforgettable,18000000.0,11209348,0.6227415855147382
1996-02-16,happy gilmore,12000000.0,41205099,3.43375825
1995-05-28,the bridges of madison county,24000000.0,182016617,7.584025708333333
1994-11-07,nobody loves me,4224578.813474693,11209348,2.653364757573468
1996-02-16,muppet treasure island,4224578.813474693,34327391,8.12563630970963
1995-12-08,catwalk,4224578.813474693,11209348,2.653364757573468
1995-05-20,headless body in topless bar,4224578.813474693,11209348,2.653364757573468
1995-05-24,braveheart,72000000.0,210000000,2.9166666666666665
1976-02-07,taxi driver,1300000.0,28262574,21.74044153846154
1995-01-30,rumble in the bronx,7500000.0,32392047,4.3189396
1996-02-23,before and after,35000000.0,11209348,0.32026710112186535
1995-09-13,margaret's museum,4224578.813474693,11209348,2.653364757573468
1995-01-31,happiness is in the field,13365000.0,11209348,0.8387092060804555
1995-06-08,anne frank remembered,4224578.813474693,11209348,2.653364757573468
1995-01-20,the young poisoner's handbook,4224578.813474693,11209348,2.653364757573468
1996-03-08,if lucy fell,4224578.813474693,11209348,2.653364757573468
1995-09-29,steal big steal little,25000000.0,6278139,0.25112556
1996-03-22,race the sun,4224578.813474693,11209348,2.653364757573468
1992-12-06,the boys of st. vincent,4224578.813474693,11209348,2.653364757573468
1992-06-30,boomerang,40000000.0,70100000,1.7525
1994-07-14,chungking express,4224578.813474693,11209348,2.653364757573468
1995-09-21,the star maker,4224578.813474693,11209348,2.653364757573468
1996-03-22,flirting with disaster,7000000.0,14702438,2.100348285714286
1994-10-26,the neverending story iii: escape from fantasia,17000000.0,11209348,0.6593734434861934
1994-09-30,the silences of the palace,4224578.813474693,11209348,2.653364757573468
1995-01-01,jupiter's wife,4224578.813474693,11209348,2.653364757573468
1996-02-09,pie in the sky,4224578.813474693,11209348,2.653364757573468
1995-01-01,angela,4224578.813474693,11209348,2.653364757573468
1995-11-22,frankie starlight,4224578.813474693,11209348,2.653364757573468
1995-10-13,jade,50000000.0,9851610,0.1970322
1995-08-16,nueba yol,4224578.813474693,11209348,2.653364757573468
1995-08-01,sonic outlaws,4224578.813474693,11209348,2.653364757573468
1996-03-01,down periscope,4224578.813474693,11209348,2.653364757573468
1995-09-08,from the journals of jean seberg,4224578.813474693,11209348,2.653364757573468
1995-09-15,man of the year,4224578.813474693,11209348,2.653364757573468
1995-08-23,the neon bible,4224578.813474693,11209348,2.653364757573468
1995-08-01,target,4224578.813474693,11209348,2.653364757573468
1996-03-01,up close & personal,60000000.0,11209348,0.18682247565442148
1996-03-08,the birdcage,31000000.0,185260553,5.976146870967742
1995-10-12,virgin mary,4224578.813474693,11209348,2.653364757573468
1995-08-09,the brothers mcmullen,4224578.813474693,11209348,2.653364757573468
1995-04-07,bad boys,19000000.0,141407024,7.442474947368421
1995-08-25,the amazing panda adventure,4224578.813474693,11209348,2.653364757573468
1995-04-21,the basketball diaries,4224578.813474693,11209348,2.653364757573468
1995-07-21,an awfully big adventure,4000000.0,11209348,2.802337134816322
1994-08-05,amateur,4224578.813474693,11209348,2.653364757573468
1995-06-30,apollo 13,52000000.0,355237933,6.831498711538462
1995-04-13,rob roy,28000000.0,31596911,1.1284611071428572
1995-01-10,the addiction,4224578.813474693,11209348,2.653364757573468
1995-06-16,batman forever,100000000.0,336529144,3.36529144
1967-05-24,belle de jour,4224578.813474693,11209348,2.653364757573468
1995-05-24,beyond rangoon,4224578.813474693,11209348,2.653364757573468
1995-09-15,blue in the face,2000000.0,1275000,0.6375
1995-06-08,canadian bacon,11000000.0,11209348,1.0190316853877535
1995-05-26,casper,50000000.0,287928194,5.75856388
1995-09-15,clockers,25000000.0,13071518,0.52286072
1995-06-09,congo,50000000.0,152022101,3.04044202
1995-05-12,crimson tide,53000000.0,157387195,2.969569716981132
1994-09-10,crumb,4224578.813474693,3174695,0.7514820151713137
1995-08-25,desperado,7000000.0,25405445,3.6293492857142855
1995-09-15,devil in a blue dress,27000000.0,16140822,0.5978082222222222
1995-05-19,die hard: with a vengeance,90000000.0,366101666,4.067796288888889
1995-10-27,the doom generation,4224578.813474693,11209348,2.653364757573468
1995-10-12,feast of july,4224578.813474693,11209348,2.653364757573468
1995-07-07,first knight,55000000.0,127600435,2.320007909090909
1995-07-19,free willy 2 - the adventure home,4224578.813474693,11209348,2.653364757573468
1995-09-14,hackers,20000000.0,7563728,0.3781864
1995-08-18,jeffrey,4224578.813474693,11209348,2.653364757573468
1995-05-26,johnny mnemonic,25000000.0,19075720,0.7630288
1995-06-30,judge dredd,90000000.0,113493481,1.2610386777777778
1995-04-12,jury duty,4224578.813474693,17014653,4.027538306476886
1995-07-28,kids,1500000.0,7412216,4.941477333333333
1995-01-20,living in oblivion,500000.0,1148752,2.297504
1995-08-25,lord of illusions,4224578.813474693,11209348,2.653364757573468
1993-05-20,love & human remains,4224578.813474693,11209348,2.653364757573468
1995-05-26,mad love,4224578.813474693,15453274,3.657944302213116
1995-10-20,mallrats,6000000.0,2122561,0.35376016666666665
1995-06-30,mighty morphin power rangers: the movie,15000000.0,66000000,4.4
1995-09-29,moonlight and valentino,4224578.813474693,11209348,2.653364757573468
1995-09-28,mute witness,4224578.813474693,11209348,2.653364757573468
1994-09-13,nadja,4224578.813474693,11209348,2.653364757573468
1995-07-28,the net,22000000.0,110627965,5.028543863636363
1995-07-12,nine months,4224578.813474693,69660733,16.48939126850007
1995-06-09,party girl,4224578.813474693,11209348,2.653364757573468
1995-09-01,the prophecy,4224578.813474693,11209348,2.653364757573468
1995-11-17,reckless,4224578.813474693,11209348,2.653364757573468
1995-06-23,safe,4224578.813474693,11209348,2.653364757573468
1995-10-13,the scarlet letter,50000000.0,10382407,0.20764814
1995-08-25,the show,4224578.813474693,11209348,2.653364757573468
1995-09-22,showgirls,45000000.0,20350754,0.4522389777777778
1995-06-09,smoke,7000000.0,8349430,1.1927757142857143
1995-08-04,something to talk about,4224578.813474693,50892160,12.046682579970966
1995-07-07,species,35000000.0,113374103,3.2392600857142857
1995-09-15,the stars fell on henrietta,4224578.813474693,11209348,2.653364757573468
1995-10-13,strange days,42000000.0,7959291,0.18950692857142856
1964-02-19,the umbrellas of cherbourg,4224578.813474693,11209348,2.653364757573468
1995-09-08,the tie that binds,14000000.0,5780000,0.41285714285714287
1995-10-27,three wishes,4224578.813474693,7025496,1.6630050734505217
1995-11-02,total eclipse,4224578.813474693,11209348,2.653364757573468
1995-09-07,"to wong foo, thanks for everything! julie newmar",4224578.813474693,47774193,11.308628648995658
1995-07-13,under siege 2: dark territory,60000000.0,104324083,1.7387347166666667
1995-09-15,unstrung heroes,4224578.813474693,11209348,2.653364757573468
1995-08-11,unzipped,4224578.813474693,11209348,2.653364757573468
1995-08-11,a walk in the clouds,20000000.0,50012507,2.50062535
1995-07-28,waterworld,175000000.0,264218220,1.5098184
1995-12-01,white man's burden,8000000.0,11209348,1.401168567408161
1995-12-01,wild bill,30000000.0,11209348,0.37364495130884295
1994-10-12,the browning version,4224578.813474693,11209348,2.653364757573468
1995-08-04,bushwhacked,4224578.813474693,11209348,2.653364757573468
1994-05-01,burnt by the sun,2800000.0,2616503,0.9344653571428572
1994-06-09,before the rain,4224578.813474693,11209348,2.653364757573468
1995-01-27,before sunrise,2500000.0,5535405,2.214162
1995-02-10,billy madison,10000000.0,26488734,2.6488734
1995-10-17,the babysitter,4224578.813474693,11209348,2.653364757573468
1995-02-03,boys on the side,21000000.0,23450000,1.1166666666666667
1995-04-21,the cure,4224578.813474693,11209348,2.653364757573468
1995-08-04,castle freak,4224578.813474693,11209348,2.653364757573468
1995-03-16,circle of friends,4224578.813474693,11209348,2.653364757573468
1994-09-13,clerks,4224578.813474693,3151130,0.7459039443054473
1994-10-01,don juan demarco,25000000.0,22200000,0.888
1994-12-09,disclosure,55000000.0,214015089,3.891183436363636
1995-01-01,dream man,4224578.813474693,11209348,2.653364757573468
1994-12-08,drop zone,45000000.0,11209348,0.24909663420589528
1995-04-28,destiny turns on the radio,4224578.813474693,11209348,2.653364757573468
1994-05-04,death and the maiden,4224578.813474693,11209348,2.653364757573468
1995-03-24,dolores claiborne,4224578.813474693,11209348,2.653364757573468
1994-12-16,dumb and dumber,16000000.0,247275374,15.454710875
1994-08-03,eat drink man woman,4224578.813474693,7294403,1.7266580461781924
1994-09-24,exotica,4224578.813474693,11209348,2.653364757573468
1994-10-14,exit to eden,4224578.813474693,6841570,1.6194679522081978
1994-09-27,ed wood,18000000.0,5887457,0.32708094444444447
1995-05-05,french kiss,4224578.813474693,11209348,2.653364757573468
1995-05-19,forget paris,4224578.813474693,11209348,2.653364757573468
1995-01-13,far from home: the adventures of yellow dog,4224578.813474693,11209348,2.653364757573468
1995-04-07,a goofy movie,4224578.813474693,35348597,8.367365969656504
1995-03-03,hideaway,15000000.0,12201255,0.813417
1995-06-02,fluke,4224578.813474693,11209348,2.653364757573468
1994-12-07,farinelli,4224578.813474693,11209348,2.653364757573468
1995-05-12,gordy,4224578.813474693,3992809,0.9451377702469553
1995-12-01,gumby: the movie,4224578.813474693,11209348,2.653364757573468
1994-09-16,the glass shield,4224578.813474693,11209348,2.653364757573468
1994-09-12,hoop dreams,700000.0,7830611,11.186587142857142
1994-09-02,heavenly creatures,5000000.0,3049135,0.609827
1995-01-06,houseguest,10500000.0,26325256,2.507167238095238
1994-12-16,immortal beloved,4224578.813474693,11209348,2.653364757573468
1995-02-17,heavyweights,4224578.813474693,17689177,4.1872048743838555
1995-02-24,the hunted,4224578.813474693,11209348,2.653364757573468
1994-12-24,i.q.,25000000.0,11209348,0.4483739415706115
1994-11-11,interview with the vampire,60000000.0,223664608,3.7277434666666664
1995-03-31,jefferson in paris,14000000.0,2474000,0.1767142857142857
1995-02-03,the jerky boys,4224578.813474693,11209348,2.653364757573468
1994-11-22,junior,60000000.0,37000000,0.6166666666666667
1995-02-17,just cause,4224578.813474693,11209348,2.653364757573468
1995-08-11,a kid in king arthur's court,4224578.813474693,11209348,2.653364757573468
1995-04-21,kiss of death,40000000.0,11209348,0.2802337134816322
1977-05-25,star wars,11000000.0,775398007,70.49072790909091
1994-12-21,little women,18000000.0,11209348,0.6227415855147382
1995-05-10,a little princess,17000000.0,11209348,0.6593734434861934
1994-02-18,ladybird ladybird,4224578.813474693,11209348,2.653364757573468
1994-02-16,l'enfer,10000000.0,11209348,1.1209348539265287
1992-04-16,like water for chocolate,2000000.0,21665468,10.832734
1994-12-16,legends of the fall,30000000.0,160638883,5.354629433333334
1995-03-24,major payne,4224578.813474693,11209348,2.653364757573468
1994-10-27,little odessa,4224578.813474693,11209348,2.653364757573468
1994-06-08,mi vida loca,4224578.813474693,11209348,2.653364757573468
1994-10-21,love affair,60000000.0,11209348,0.18682247565442148
1995-03-17,losing isaiah,17000000.0,7603766,0.44728035294117646
1994-12-28,the madness of king george,4224578.813474693,11209348,2.653364757573468
1994-11-04,mary shelley's frankenstein,45000000.0,112006296,2.4890288
1995-03-03,man of the house,4224578.813474693,11209348,2.653364757573468
1994-12-21,mixed nuts,15000000.0,11209348,0.7472899026176859
1994-08-31,milk money,4224578.813474693,18137661,4.293365516616287
1994-11-18,miracle on 34th street,4224578.813474693,46264384,10.951241778810084
1995-01-27,miami rhapsody,4224578.813474693,11209348,2.653364757573468
1995-05-03,my family,5500000.0,11209348,2.038063370775507
1995-01-20,murder in the first,4224578.813474693,17381942,4.114479281238322
1994-12-23,nobody's fool,4224578.813474693,11209348,2.653364757573468
1994-12-23,nell,31000000.0,106683817,3.4414134516129034
1995-04-19,new jersey drive,4224578.813474693,11209348,2.653364757573468
1993-08-14,new york cop,4224578.813474693,11209348,2.653364757573468
1994-04-22,beyond bedlam,4800000.0,11209348,2.3352809456802683
1995-09-26,nemesis 2 - nebula,4224578.813474693,11209348,2.653364757573468
1995-03-03,nina takes a lover,4224578.813474693,11209348,2.653364757573468
1994-08-25,natural born killers,34000000.0,50282766,1.4789048823529412
1994-09-17,only you,4224578.813474693,11209348,2.653364757573468
1994-09-02,once were warriors,4224578.813474693,2201126,0.521028508920061
1996-01-16,poison ivy ii: lily,4224578.813474693,11209348,2.653364757573468
1995-03-10,outbreak,50000000.0,189859560,3.7971912
1994-09-14,leon: the professional,16000000.0,45284974,2.830310875
1995-05-12,the perez family,11000000.0,2832826,0.25752963636363635
1995-04-28,a pyromaniac's love story,4224578.813474693,11209348,2.653364757573468
1994-09-10,pulp fiction,8000000.0,213928762,26.74109525
1995-11-10,panther,4224578.813474693,6834525,1.6178003303431425
1992-02-01,pushing hands,4224578.813474693,11209348,2.653364757573468
1994-01-01,priest,4224578.813474693,4176932,0.9887215233569038
1994-09-16,quiz show,4224578.813474693,11209348,2.653364757573468
1995-05-05,picture bride,4224578.813474693,11209348,2.653364757573468
1994-05-13,queen margot,4224578.813474693,11209348,2.653364757573468
1995-02-09,the quick and the dead,32000000.0,18552460,0.579764375
1995-03-01,roommates,22000000.0,12400000,0.5636363636363636
1994-12-23,prêt-à-porter,15000000.0,11300653,0.7533768666666667
1994-05-27,three colors: red,4224578.813474693,11209348,2.653364757573468
1993-01-10,three colors: blue,4224578.813474693,11209348,2.653364757573468
1994-01-26,three colors: white,4224578.813474693,11209348,2.653364757573468
1994-10-14,"red firecracker, green firecracker",4224578.813474693,11209348,2.653364757573468
1995-01-01,rent-a-kid,4224578.813474693,11209348,2.653364757573468
1995-10-03,relative fear,4224578.813474693,11209348,2.653364757573468
1995-04-12,stuart saves his family,4224578.813474693,11209348,2.653364757573468
1994-11-18,the swan princess,35000000.0,9771658,0.27919022857142856
1994-01-01,the secret of roan inish,4224578.813474693,11209348,2.653364757573468
1994-10-07,the specialist,45000000.0,170362582,3.7858351555555556
1994-10-27,stargate,55000000.0,196567262,3.5739502181818184
1994-11-10,the santa clause,22000000.0,189833357,8.628788954545454
1994-09-23,the shawshank redemption,25000000.0,28341469,1.13365876
1994-12-22,shallow grave,4224578.813474693,11209348,2.653364757573468
1993-09-14,suture,4224578.813474693,11209348,2.653364757573468
1993-01-01,strawberry and chocolate,4224578.813474693,11209348,2.653364757573468
1994-09-10,swimming with sharks,4224578.813474693,11209348,2.653364757573468
1994-07-12,the sum of us,4224578.813474693,11209348,2.653364757573468
1995-09-08,senior trip,4224578.813474693,11209348,2.653364757573468
1994-06-30,to live,4224578.813474693,11209348,2.653364757573468
1995-03-31,tank girl,25000000.0,4064495,0.1625798
1995-01-13,tales from the crypt: demon knight,4224578.813474693,11209348,2.653364757573468
1994-11-17,star trek: generations,38000000.0,120000000,3.1578947368421053
1995-05-24,tales from the hood,6000000.0,12000000,2.0
1994-04-15,tom & viv,4224578.813474693,11209348,2.653364757573468
1995-04-28,village of the damned,4224578.813474693,11209348,2.653364757573468
1995-03-31,tommy boy,4224578.813474693,32648673,7.728266992170669
1994-09-13,vanya on 42nd street,4224578.813474693,11209348,2.653364757573468
1995-04-28,the underneath,6500000.0,11209348,1.7245151598869675
1995-02-24,the walking dead,4224578.813474693,11209348,2.653364757573468
1993-12-17,what's eating gilbert grape,11000000.0,10032765,0.9120695454545454
1995-08-04,virtuosity,30000000.0,24048000,0.8016
1995-04-21,while you were sleeping,17000000.0,182057016,10.709236235294117
1994-11-04,the war,4224578.813474693,11209348,2.653364757573468
