collection_name,id_list,title_list,return_sum,return_mean
... has fallen collection,"[117263, 267860, 117263]","['olympus has fallen', 'london has fallen', 'olympus has fallen']",8.029973354761905,2.676657784920635
00 schneider filmreihe,[1652],['00 schneider - jagd auf nihil baxter'],2.653364757573468,2.653364757573468
08/15 collection,[19430],['08/15'],2.653364757573468,2.653364757573468
100 girls collection,"[10035, 20648]","['100 girls', '100 women']",5.306729515146936,2.653364757573468
101 dalmatians (animated) collection,"[12230, 13654]","['one hundred and one dalmatians', ""101 dalmatians ii: patch's london adventure""]",56.62336825757347,28.311684128786734
101 dalmatians (live-action) collection,"[11674, 10481]","['101 dalmatians', '102 dalmatians']",8.098829111982571,4.0494145559912855
12 rounds collection,"[17134, 195269, 351901, 17134]","['12 rounds', '12 rounds 2: reloaded', '12 rounds 3: lockdown', '12 rounds']",7.18373449238979,1.7959336230974474
1920 collection,"[19951, 158519, 19951, 158519]","['1920', '1920: evil returns', '1920', '1920: evil returns']",10.613459030293871,2.653364757573468
2 days in... collection,"[1845, 84165]","['2 days in paris', '2 days in new york']",4.887938358440201,2.4439691792201006
2001 maniacs collection,[10845],['2001 maniacs'],3.7364495130884294,3.7364495130884294
20th century boys collection,"[36683, 25114, 39123, 36683, 25114, 39123]","['20th century boys - chapter 1: beginning of the end', '20th century boys - chapter 2: the last hope', '20th century boys - chapter 3: our flag', '20th century boys - chapter 1: beginning of the end', '20th century boys - chapter 2: the last hope', '20th century boys - chapter 3: our flag']",13.737944830293872,2.2896574717156453
28 days/weeks later collection,"[170, 1562]","['28 days later', '28 weeks later']",20.82653966666667,10.413269833333334
3 men (original) collection,[4180],['three men and a cradle'],0.48583920211251963,0.48583920211251963
3 men collection,"[12154, 11630, 12154]","['three men and a baby', 'three men and a little lady', 'three men and a baby']",7.960094272720403,2.653364757573468
3 ninjas collection,"[32302, 16314, 18885, 40508]","['3 ninjas: high noon at mega mountain', '3 ninjas', '3 ninjas kick back', '3 ninjas knuckle up']",10.613459030293871,2.653364757573468
30 days of night collection,"[4513, 42941]","['30 days of night', '30 days of night: dark days']",5.170230524240134,2.585115262120067
300 collection,"[1271, 53182]","['300', '300: rise of an empire']",9.57060830839161,4.785304154195805
48 hrs. collection,"[11595, 150, 11595]","['another 48 hrs.', '48 hrs.', 'another 48 hrs.']",14.652321666666666,4.884107222222222
8mm collection,"[8224, 7295]","['8mm', '8mm 2']",5.068832232573468,2.534416116286734
976-evil collection,"[24038, 28751]","['976-evil', '976-evil ii']",3.3530598350026835,1.6765299175013417
9½ weeks collection,"[10068, 18167]","['nine 1/2 weeks', 'another 9 1/2 weeks']",3.049595463455821,1.5247977317279104
?? ???,"[82406, 72857, 82406, 72857]","['le grand chef', 'le grand chef 2: kimchi battle', 'le grand chef', 'le grand chef 2: kimchi battle']",10.613459030293871,2.653364757573468
??? ?????? ???????! (?????????),"[314952, 179690, 314952, 179690]","['what men do! 2', 'what men do!', 'what men do! 2', 'what men do!']",16.516078054412226,4.1290195136030565
????? ? ?????? ????? (?????????),"[84774, 84774]","['alice in wonderland', 'alice in wonderland']",5.306729515146936,2.653364757573468
????? ?? ????? ??? ???? - ?????????,"[137801, 137801]","['nobody knows sex', 'nobody knows sex']",5.306729515146936,2.653364757573468
????? ?????? ????? - ?????????,"[62738, 57889, 62737, 62738, 57889, 62737]","['the best movie 2', 'the best movie 3-de', 'the best movie', 'the best movie 2', 'the best movie 3-de', 'the best movie']",13.633868876447718,2.272311479407953
