production_companies_nombres,budget_per_company,revenue_per_company,return_per_company,count_movies
"""dia"" productions gmbh & co. kg",9000000.0,11087731.5,0.3079925416666667,1
# andrea sperling productions,1250000.0,5604674.0,2.2418697078530574,1
# lexyn productions,1408192.9378248977,3736449.3333333335,0.8844549191911559,1
'a' production committee,8449157.626949387,22418696.0,5.306729515146936,2
(?)?????,5000000.0,11209348.0,2.2418697078530574,1
(?)??????,4224578.813474693,11209348.0,2.653364757573468,1
(?)?????????,4224578.813474693,11209348.0,2.653364757573468,1
(주)로드픽쳐스,5000000.0,11209348.0,2.2418697078530574,1
(주)로제타시네마,4224578.813474693,11209348.0,2.653364757573468,1
(주)비에이엔터테인먼트,4224578.813474693,11209348.0,2.653364757573468,1
", flaminia produzioni cinematografiche",1408192.9378248977,3736449.3333333335,0.8844549191911559,1
", planet productions",1408192.9378248977,3736449.3333333335,0.8844549191911559,1
.406 production,8449157.626949387,22418696.0,5.306729515146936,2
01 distribution,4224578.813474693,11209348.0,2.653364757573468,1
1.85 films,4287078.813474693,12610516.5,5.45570189238979,2
10 west studios,1056144.7033686733,2802337.0,0.663341189393367,1
100 bares,2666666.6666666665,6440649.222222222,2.008203398989899,2
100 doo,2816385.8756497954,7472898.666666667,1.7689098383823119,2
100 feet productions,1666666.6666666667,1868224.6666666667,0.18682247565442145,1
100% halal,2112289.4067373467,5604674.0,1.326682378786734,1
100% synthetic films,768105.2388135806,2038063.2727272727,0.4824299559224487,2
1000 volt,1408192.9378248977,3736449.3333333335,0.8844549191911559,1
1019 entertainment,400000.0,560301.6,0.28015080000000003,1
101st street films,4224578.813474693,11209348.0,2.653364757573468,1
108 media,2112289.4067373467,5604674.0,1.326682378786734,1
108 sound studio,2112289.4067373467,5604674.0,1.326682378786734,1
10db inc.,1408192.9378248977,3736449.3333333335,0.8844549191911559,1
10th hole productions,4484474.382532734,14159755.211904762,3.398051910841069,5
11:11 mediaworks,14159655.962436486,63997839.428571425,3.426159977618148,3
12 gauge productions,2250000.0,2802337.0,0.3113707927573691,1
120 films,13389730.528621914,12661564.984126985,1.4990163479259955,6
1201,4224578.813474693,11209348.0,2.653364757573468,1
120db films,16330037.310230767,27903020.19047619,5.822083470425354,12
129 productions,1408192.9378248977,3736449.3333333335,0.8844549191911559,1
13 all stars llc,608000.0,11209348.0,18.436428518528434,1
13 ghosts productions canada inc.,1056144.7033686733,2802337.0,0.663341189393367,1
13 productions,5491952.457517101,14572152.4,3.449374184845508,6
13 tv,1056144.7033686733,2802337.0,0.663341189393367,1
13th dimensional video,2112289.4067373467,5604674.0,1.326682378786734,1
14 luglio cinematografica,2112289.4067373467,5604674.0,1.326682378786734,1
14 reels entertainment,16898315.253898773,44837392.0,10.613459030293871,4
141 entertainment,1408192.9378248977,3736449.3333333335,0.8844549191911559,1
1428 films,2112289.4067373467,5604674.0,1.326682378786734,1
1492 pictures,430188058.69640255,1711874619.834524,33.52430493294434,22
16 block productions,6875000.0,8208090.125,0.14923800227272727,1
1600 limited partnership,1056144.7033686733,6451176.75,1.52705797070784,1
1618 action limited,2816385.8756497954,7472898.666666667,1.7689098383823119,2
1718 studio,2112289.4067373467,5604674.0,1.326682378786734,1
180 degrees,844915.7626949387,2241869.6,0.5306729515146935,1
1812 productions,666666.6666666666,3736449.3333333335,1.8682247565442147,1
1818,1666666.6666666667,4077542.6666666665,0.8155085333333334,1
1821 pictures,11769432.263880204,16130850.228571428,7.669170068096902,5
185 trax,2100000.0,5604674.0,1.3344462546744391,1
185º equator,4224578.813474693,11209348.0,2.653364757573468,2
19 entertainment,16500000.0,9073796.5,0.8714727777777778,3
1976 productions,2112289.4067373467,5604674.0,1.326682378786734,1
1984 private defense contractors,27976206.094733935,44707949.2979798,4.850576181988289,8
1992 number four limited partnership,1408192.9378248977,3736449.3333333335,0.8844549191911559,1
2 bridges productions,500000.0,2802337.0,1.401168567408161,1
2 die 4 films,2112289.4067373467,5604674.0,1.326682378786734,1
2 entertain,10500000.0,15738296.75,0.9188247890151515,3
2 loop films,250000.0,5604674.0,11.209348539265289,1
2 man production,2112289.4067373467,5604674.0,1.326682378786734,1
2 minutes,162483.80051825743,431128.76923076925,0.10205249067590261,1
2 player productions,4224578.813474693,11209348.0,2.653364757573468,1
2 smooth film productions,4224578.813474693,11209348.0,2.653364757573468,1
2 wolves films,2112289.4067373467,5604674.0,1.326682378786734,1
2-team productions,12955375.02798906,34375333.86666667,8.136985256558635,6
2.4.7. films,5267435.956331837,12810683.42857143,2.872725785739129,3
2/35,6920262.437310926,18361979.580952384,4.346464174310824,9
20 steps productions,6336868.22021204,16814022.0,3.9800471363602017,4
2003 productions,4700000.0,1120934.8,0.023849677743117633,1
2077883 ontario,2112289.4067373467,5604674.0,1.326682378786734,1
20ten media,2112289.4067373467,5604674.0,1.326682378786734,1
20th century fox,23117166.155442644,59352048.15079365,4.09879996146608,7
20th century fox de argentina,1056144.7033686733,2802337.0,0.663341189393367,1
20th century fox film corporation,6336868.2202120405,16814022.0,3.9800471363602017,2
20th century fox home entertainment,43372051.694322854,98641961.53333333,23.11021069352846,19
20th century fox home entertainment japan,938795.2918832651,2490966.222222222,0.589636612794104,2
20th century fox russia,14049157.626949387,57850461.4,14.775179315146936,5
20th century fox television,59754625.3519437,168128535.0,39.283765416635184,22
20th century pictures,43021209.32127224,112093480.0,26.12215252601427,10
21 laps entertainment,257113888.8888889,834143775.6944444,13.64492273217776,20
21 one productions,4224578.813474693,11209348.0,2.653364757573468,1
21 unofilm,603511.2590678133,1601335.4285714286,0.37905210822478114,1
21st century 3d,1056144.7033686733,2802337.0,0.663341189393367,1
21st century film corporation,13566105.084632924,22451067.166666668,4.776376289978229,5
22 & indiana pictures,9800000.0,90384570.5,1.5371525595238096,1
22 dicembre,3520482.3445622446,9341123.333333334,2.21113729797789,2
224 entertainment,2112289.4067373467,5604674.0,1.326682378786734,1
2262730 ontario,3000000.0,2802337.0,0.23352809456802684,1
22h22,27014478.036702007,12410786.166666666,1.3081275970394692,7
23 giugno,5280723.516843366,14011685.0,3.3167059469668345,2
23/5 filmproduktion,5632771.751299591,14945797.333333334,3.5378196767646237,2
23/5 filmproduktion gmbh,844915.7626949387,2241869.6,0.5306729515146935,1
235 films,2112289.4067373467,5604674.0,1.326682378786734,2
24 frames digital films,1408192.9378248977,3736449.3333333335,0.8844549191911559,1
24 horses,2112289.4067373467,5604674.0,1.326682378786734,1
24 mai productions,6806265.866153672,18059505.111111112,4.274865442757253,4
24 seven productions,704096.4689124489,1868224.6666666667,0.44222745959557797,1
24/7 films,1408192.9378248977,3736449.3333333335,0.8844549191911559,1
2425 films,1056144.7033686733,2802337.0,0.663341189393367,1
2425 production,4224578.813474693,11209348.0,2.653364757573468,1
24p media group,1222222.2222222222,404371.6666666667,0.03676106060606061,1
24tl productions,2333333.3333333335,3736449.3333333335,0.5337785018697756,1
26 films,25500000.0,39403868.266666666,2.9950817671954946,4
27 films production,8500000.0,6448126.333333334,0.5691374618382461,2
27 productions,8449157.626949387,22418696.0,5.306729515146936,2
29 fevralya,8449157.626949387,22418696.0,5.306729515146936,2
2929 productions,91958119.85443945,131236669.07619047,16.74285011853529,23
2afilm,4224578.813474693,11209348.0,2.653364757573468,1
2am films,1408192.9378248977,3736449.3333333335,0.8844549191911559,1
2b films,5632771.751299591,14945797.333333334,3.5378196767646237,2
2d celluloid,4224578.813474693,11209348.0,2.653364757573468,2
2d entertainment,10000000.0,15000000.0,1.5,2
2ds productions,6336868.2202120405,16814022.0,3.9800471363602017,2
2dux²,28571428.57142857,75980714.28571428,0.3799035714285714,1
2l productions,1408192.9378248977,3736449.3333333335,0.8844549191911559,1
2m,844915.7626949387,2241869.6,0.5306729515146935,2
2pilots filmproduction,8449157.626949387,22418696.0,5.306729515146936,2
2plan2,4224578.813474693,2209023.0,0.5228978076948434,2
2s films,11666666.666666666,19967304.333333332,0.5704944095238095,1
2t produzione film,2112289.4067373467,5604674.0,1.326682378786734,1
3 art entertainment,11111111.111111112,25653858.666666668,0.2565385866666667,1
3 arts entertainment,204631367.79621524,423633938.43333334,20.678412544923432,24
3 arts productions,2112289.4067373467,5604674.0,1.326682378786734,1
3 days in vegas,2112289.4067373467,3067219.0,0.7260413725071989,2
3 dogs and a pony,9066385.875649795,10275235.666666668,1.8810033237749648,4
3 emme cinematografica,2112289.4067373467,5604674.0,1.326682378786734,2
3 generations,1408192.9378248977,3736449.3333333335,0.8844549191911559,1
3 in the box,18333333.333333332,10307768.666666668,0.4683575001482988,2
3 legged dog films,4224578.813474693,11209348.0,2.653364757573468,2
3 miles apart productions ltd.,5500000.0,1868224.6666666667,0.05661287141043075,1
3 ring circus films,3520482.3445622446,9341123.333333334,2.21113729797789,2
